NAME,P003001,P003002,P003003
01-001,6227,1022,4697
01-002,2971,554,1937
01-003,4460,1697,1740
01-004,5425,1821,2446
01-005,5730,1739,3219
01-006,5303,847,4255
01-007,2962,1479,1082
01-008,5561,4190,886
01-009,3816,2005,1359
01-010,4037,3189,565
01-011,3446,2836,220
01-012,4080,3830,97
01-013,3370,3204,37
01-014,6721,4674,870
01-015,4816,3306,802
01-016,2630,2464,110
01-017,6681,900,4261
02-001,2242,136,2032
02-002,5113,214,4663
02-003,675,105,519
02-004,4139,218,3731
02-005,3469,180,3127
02-006,4322,452,3601
02-007,3874,351,3317
02-008,3022,346,2568
02-009,3582,241,3069
02-010,5926,481,5045
02-011,7487,919,6008
02-012,6707,793,5586
02-013,4672,636,3650
02-014,5157,495,4333
02-015,5802,1405,3714
02-016,2019,283,1615
02-017,4267,395,3601
02-018,1669,270,1302
02-019,1897,1102,652
02-020,1070,363,634
02-021,1313,944,309
02-022,45,15,30
02-023,754,285,454
02-024,3568,331,3064
02-025,594,470,114
02-026,3043,1534,1112
02-027,3080,610,2089
02-028,496,20,453
02-029,4938,1549,2652
02-030,554,357,176
02-031,3433,447,2691
03-001,4491,612,3716
03-002,3732,1663,1761
03-003,3123,635,2290
03-004,2443,1177,980
03-005,4046,2603,1188
03-006,2837,2663,97
03-007,5842,4976,289
03-008,4089,3477,253
03-009,5136,3619,660
03-010,3658,3332,158
03-011,4106,2866,955
03-012,3530,1879,1310
03-013,2669,2398,83
03-014,2471,1887,454
04-001,3310,1678,1191
04-002,5777,2505,2238
04-003,3982,3622,237
04-004,5338,4065,804
04-005,3978,2724,837
04-006,4577,2641,1352
04-007,6026,3612,1729
04-008,5348,4068,757
04-009,2413,2209,95
04-010,3196,1827,971
04-011,578,512,31
04-012,5680,3000,1957
04-013,778,715,27
04-014,7905,2580,3869
04-015,211,74,64
05-001,3413,3248,53
05-002,930,892,11
06-001,2619,2482,60
06-002,3170,3029,59
07-001,4075,3871,74
07-002,1450,1400,15
07-003,3239,3008,121
08-001,3138,2836,122
08-002,2494,2294,35
08-003,2156,1895,55
08-004,3079,2710,70
08-005,1246,1161,58
08-006,8649,3972,2764
08-007,4826,2563,800
08-008,2639,2395,71
08-009,3800,3015,74
08-010,2856,2591,46
08-011,2358,1705,231
08-012,2798,2465,42
08-013,3350,2948,62
08-014,1870,1648,53
08-015,2094,1855,24
08-016,1351,1095,84
08-017,2445,2283,47
08-018,1134,1024,4
08-019,3136,2782,29
08-020,2029,1752,71
08-021,764,655,13
08-022,2607,2249,22
