,NAME,Pop,Biden2020,Jealous2018,JohnnyO2018,Clinton2016
0,01-001,6227,3112,545,932,994.0
1,01-002,2971,997,278,461,490.0
2,01-003,4460,1556,136,594,602.0
3,01-004,5425,1778,166,633,661.0
4,01-005,5730,1740,324,770,821.0
5,01-006,5303,2304,653,1141,1173.0
6,01-007,2962,848,71,372,336.0
7,01-008,5561,1118,-146,454,310.0
8,01-009,3816,819,-63,353,295.0
9,01-010,4037,842,-322,225,245.0
10,01-011,3446,385,-518,-45,-5.0
11,01-012,4080,690,-603,14,43.0
12,01-013,3370,806,-454,131,143.0
13,01-014,6721,329,-520,-77,-80.0
14,01-015,4816,814,-230,224,102.0
15,01-016,2630,361,-434,-11,42.0
16,01-017,6681,2457,636,1071,1138.0
17,02-001,2242,1148,289,503,507.0
18,02-002,5113,2095,443,677,767.0
19,02-003,675,290,70,96,114.0
20,02-004,4139,1736,470,760,801.0
21,02-005,3469,1681,431,709,694.0
22,02-006,4322,2087,526,886,823.0
23,02-007,3874,1703,448,713,685.0
24,02-008,3022,1930,446,774,805.0
25,02-009,3582,1398,375,591,668.0
26,02-010,5926,2730,647,1059,1000.0
27,02-011,7487,2218,634,970,1045.0
28,02-012,6707,2751,557,916,912.0
29,02-013,4672,2289,475,839,859.0
30,02-014,5157,2834,571,986,895.0
31,02-015,5802,3147,583,1086,1061.0
32,02-016,2019,1014,249,414,365.0
33,02-017,4267,1889,388,807,761.0
34,02-018,1669,860,157,338,306.0
35,02-019,1897,101,-238,-63,-94.0
36,02-020,1070,527,26,205,164.0
37,02-021,1313,103,-254,-94,-119.0
38,02-022,45,30,-2,11,9.0
39,02-023,754,242,23,101,106.0
40,02-024,3568,1747,490,774,716.0
41,02-025,594,359,-81,186,231.0
42,02-026,3043,1337,179,470,473.0
43,02-027,3080,1595,333,629,573.0
44,02-028,496,177,57,84,95.0
45,02-029,4938,1818,312,647,674.0
46,02-030,554,173,-37,20,18.0
47,02-031,3433,1328,260,472,569.0
48,03-001,4491,2430,489,888,899.0
49,03-002,3732,1311,236,587,650.0
50,03-003,3123,1638,403,770,780.0
51,03-004,2443,913,50,397,452.0
52,03-005,4046,1403,-21,482,421.0
53,03-006,2837,768,-460,108,204.0
54,03-007,5842,-340,-997,-365,-211.0
55,03-008,4089,878,-334,307,353.0
56,03-009,5136,1206,-146,518,531.0
57,03-010,3658,1390,-424,291,397.0
58,03-011,4106,1391,-160,362,445.0
59,03-012,3530,1140,122,444,456.0
60,03-013,2669,664,-374,11,96.0
61,03-014,2471,265,-193,-38,10.0
62,04-001,3310,1569,220,576,510.0
63,04-002,5777,1478,121,530,551.0
64,04-003,3982,1057,-412,124,216.0
65,04-004,5338,1480,-348,350,395.0
66,04-005,3978,625,-63,247,259.0
67,04-006,4577,737,-77,244,253.0
68,04-007,6026,1364,-173,294,279.0
69,04-008,5348,871,-387,55,91.0
70,04-009,2413,-69,-546,-260,-311.0
71,04-010,3196,710,-35,237,209.0
72,04-011,578,40,-133,-48,-30.0
73,04-012,5680,2292,90,637,662.0
74,04-013,778,86,-180,-30,-8.0
75,04-014,7905,1418,311,583,694.0
76,04-015,211,94,5,26,33.0
77,05-001,3413,-479,-934,-569,-610.0
78,05-002,930,-103,-227,-159,-129.0
79,06-001,2619,-477,-717,-448,-503.0
80,06-002,3170,-473,-863,-562,-622.0
81,07-001,4075,-768,-1142,-721,-832.0
82,07-002,1450,-181,-466,-267,-291.0
83,07-003,3239,-292,-829,-417,-441.0
84,08-001,3138,68,-623,-252,-246.0
85,08-002,2494,-98,-635,-334,-210.0
86,08-003,2156,296,-323,-14,-46.0
87,08-004,3079,340,-644,-176,-122.0
88,08-005,1246,-22,-205,-69,-84.0
89,08-006,8649,1733,244,681,689.0
90,08-007,4826,688,-143,193,245.0
91,08-008,2639,392,-429,-172,-47.0
92,08-009,3800,517,-789,-250,-94.0
93,08-010,2856,255,-613,-167,-62.0
94,08-011,2358,272,-180,21,51.0
95,08-012,2798,312,-630,-139,-55.0
96,08-013,3350,287,-603,-84,-20.0
97,08-014,1870,173,-395,-135,-50.0
98,08-015,2094,290,-432,-117,-47.0
99,08-016,1351,255,-136,69,29.0
100,08-017,2445,312,-549,-109,-75.0
101,08-018,1134,129,-319,-93,-20.0
102,08-019,3136,178,-709,-270,-134.0
103,08-020,2029,147,-301,-81,-33.0
104,08-021,764,-20,-184,-65,-48.0
105,08-022,2607,308,-413,-31,92.0
106,08-023,961,117,-226,-49,-22.0
107,08-024,1377,53,-358,-172,-146.0
108,08-025,2439,126,-371,-102,-96.0
109,08-026,22,2,-4,0,-7.0
110,08-027,1802,73,-331,-156,-77.0
111,08-028,524,52,-123,-49,-9.0
112,09-001,3301,926,-475,62,149.0
113,09-002,2083,401,-509,-160,43.0
114,09-003,4309,1629,-223,474,470.0
115,09-004,4806,847,-268,196,244.0
116,09-005,4424,1167,-498,121,220.0
117,09-006,4108,518,-40,124,53.0
118,09-007,2823,287,-579,-118,-129.0
119,09-008,1999,199,-525,-203,-95.0
120,09-009,2123,214,-576,-168,-112.0
121,09-010,7821,1829,-191,494,424.0
122,09-011,3404,999,-64,264,308.0
123,09-012,2676,655,-231,135,200.0
124,09-013,3103,1090,-314,255,404.0
125,09-014,3439,1341,17,553,593.0
126,09-015,4078,1161,30,478,474.0
127,09-016,1298,183,-219,6,14.0
128,09-017,2038,448,-69,196,212.0
129,09-018,3251,569,-111,215,194.0
130,09-019,3122,688,-101,279,243.0
131,09-020,5200,1451,479,843,994.0
132,09-021,4615,449,-568,-61,-191.0
133,09-022,5064,394,-410,132,-26.0
134,09-023,4211,399,-331,73,53.0
135,09-024,4989,495,-657,-8,24.0
